,date,date1,yearday,Year,month,season,Site,MA,raw,year,raw_min,raw_max,normday
234,1987MAR03,3/3/87,62,1987,MAR,spring,Delma,20.9599546,21.01,1987,1,0,54
235,1987MAR04,4/3/87,63,1987,MAR,spring,Delma,21.06396066,21.51,1987,1,0,55
236,1987MAR05,5/3/87,64,1987,MAR,spring,Delma,21.3247659,22.01,1987,1,0,56
237,1987MAR06,6/3/87,65,1987,MAR,spring,Delma,21.62613045,22.21,1987,1,0,57
238,1987MAR07,7/3/87,66,1987,MAR,spring,Delma,21.84731306,22.03,1987,1,0,58
239,1987MAR08,8/3/87,67,1987,MAR,spring,Delma,22.07967131,22.15,1987,1,0,59
240,1987MAR09,9/3/87,68,1987,MAR,spring,Delma,22.21438181,22,1987,1,0,60
241,1987MAR10,10/3/87,69,1987,MAR,spring,Delma,22.42779757,22.45,1987,1,0,61
242,1987MAR11,11/3/87,70,1987,MAR,spring,Delma,22.53075789,22.23,1987,1,0,62
243,1987MAR12,12/3/87,71,1987,MAR,spring,Delma,22.53465684,22.16,1987,1,0,63
244,1987MAR13,13/3/87,72,1987,MAR,spring,Delma,22.37670259,21.73,1987,1,0,64
245,1987MAR14,14/3/87,73,1987,MAR,spring,Delma,22.22780891,21.69,1987,1,0,65
246,1987MAR15,15/3/87,74,1987,MAR,spring,Delma,22.19343439,22.03,1987,1,0,66
247,1987MAR16,16/3/87,75,1987,MAR,spring,Delma,22.11764314,21.85,1987,1,0,67
248,1987MAR17,17/3/87,76,1987,MAR,spring,Delma,21.95462405,21.56,1987,1,0,68
249,1987MAR18,18/3/87,77,1987,MAR,spring,Delma,21.84600751,21.74,1987,1,0,69
250,1987MAR19,19/3/87,78,1987,MAR,spring,Delma,21.78987318,21.81,1987,1,0,70
251,1987MAR20,20/3/87,79,1987,MAR,spring,Delma,21.77722342,21.82,1987,1,0,71
252,1987MAR21,21/3/87,80,1987,MAR,spring,Delma,21.8722603,22.1,1987,1,0,72
253,1987MAR22,22/3/87,81,1987,MAR,spring,Delma,21.87329226,21.87,1987,1,0,73
254,1987MAR23,23/3/87,82,1987,MAR,spring,Delma,22.07951996,22.68,1987,1,0,74
255,1987MAR24,24/3/87,83,1987,MAR,spring,Delma,22.2629173,22.58,1987,1,0,75
256,1987MAR25,25/3/87,84,1987,MAR,spring,Delma,22.43986166,22.62,1987,1,0,76
257,1987MAR26,26/3/87,85,1987,MAR,spring,Delma,22.46721344,22.21,1987,1,0,77
258,1987MAR27,27/3/87,86,1987,MAR,spring,Delma,22.50425164,22.28,1987,1,0,78
259,1987MAR28,28/3/87,87,1987,MAR,spring,Delma,22.45301809,22.04,1987,1,0,79
260,1987MAR29,29/3/87,88,1987,MAR,spring,Delma,22.38661568,21.97,1987,1,0,80
261,1987MAR30,30/3/87,89,1987,MAR,spring,Delma,22.20240026,21.64,1987,1,0,81
262,1987MAR31,31/3/87,90,1987,MAR,spring,Delma,21.93941356,21.43,1987,1,0,82
263,1987APR01,1/4/87,91,1987,APR,spring,Delma,21.73949175,21.52,1987,1,0,83
264,1987APR02,2/4/87,92,1987,APR,spring,Delma,21.55355951,21.38,1987,1,0,84
265,1987APR03,3/4/87,93,1987,APR,spring,Delma,21.44708491,21.5,1987,1,0,85
266,1987APR04,4/4/87,94,1987,APR,spring,Delma,21.41680692,21.69,1987,1,0,86
267,1987APR05,5/4/87,95,1987,APR,spring,Delma,21.432566,21.77,1987,1,0,87
268,1987APR06,6/4/87,96,1987,APR,spring,Delma,21.50489053,21.89,1987,1,0,88
269,1987APR07,7/4/87,97,1987,APR,spring,Delma,21.73423846,22.38,1987,1,0,89
270,1987APR08,8/4/87,98,1987,APR,spring,Delma,21.99967333,22.6,1987,1,0,90
271,1988FEB14,14/2/88,45,1988,FEB,winter,Delma,18.95540062,18.28,1988,1,0,1
272,1988FEB15,15/2/88,46,1988,FEB,winter,Delma,18.62001387,18.29,1988,1,0,2
273,1988FEB16,16/2/88,47,1988,FEB,winter,Delma,18.34267869,18.45,1988,1,0,3
274,1988FEB17,17/2/88,48,1988,FEB,winter,Delma,18.15565486,18.53,1988,1,0,4
275,1988FEB18,18/2/88,49,1988,FEB,winter,Delma,18.18823422,19.14,1988,1,0,5
276,1988FEB19,19/2/88,50,1988,FEB,winter,Delma,18.32246965,19.35,1988,1,0,6
277,1988FEB20,20/2/88,51,1988,FEB,winter,Delma,18.41280703,18.96,1988,1,0,7
278,1988FEB21,21/2/88,52,1988,FEB,winter,Delma,18.5777661,19.06,1988,1,0,8
