distance,t1,t2,date,date1,sst,sstanom,hotspot,dhw
1.9929,1.163007204,1.10019794,2013-Aug-17,17/8/13,30.2,-1.505,0,0
1.9979,1.160598604,1.086351367,2013-Aug-16,16/8/13,30.722,-1.011,0,0
2.003,1.159980256,1.07506225,2013-Aug-15,15/8/13,30.733,-1.028,0,0
2.008,1.159529869,1.065637387,2013-Aug-14,14/8/13,31.409,-0.377,0,0
2.0131,1.158559952,1.055473574,2013-Aug-13,13/8/13,30.467,-1.344,0,0
2.0181,1.156326241,1.046565102,2013-Aug-12,12/8/13,30.134,-1.701,0,0
2.0231,1.153661261,1.041783366,2013-Aug-11,11/8/13,30.669,-1.191,0,0
2.0282,1.148754743,1.040507945,2013-Aug-10,10/8/13,30.612,-1.273,0,0
2.0332,1.144232515,1.041539764,2013-Aug-09,9/8/13,32.795,0.885,0.265,0
2.0383,1.140033954,1.04275467,2013-Aug-08,8/8/13,31.15,-0.785,0,0
2.0433,1.135466162,1.043269262,2013-Aug-07,7/8/13,30.968,-0.992,0,0
2.0484,1.12839625,1.041309862,2013-Aug-06,6/8/13,31.255,-0.729,0,0
2.0534,1.121954951,1.04045052,2013-Aug-05,5/8/13,31.296,-0.713,0,0
2.0585,1.117046734,1.041805397,2013-Aug-04,4/8/13,30.829,-1.205,0,0
2.0635,1.113875722,1.045457914,2013-Aug-03,3/8/13,30.655,-1.404,0,0
2.0686,1.110170406,1.046002349,2013-Aug-02,2/8/13,30.527,-1.557,0,0
2.0736,1.106780046,1.045555166,2013-Aug-01,1/8/13,30.563,-1.545,0,0
2.0786,1.108848252,1.045852206,2013-Jul-31,31/7/13,30.631,-1.503,0,0
2.0837,1.110436526,1.04048296,2013-Jul-30,30/7/13,29.909,-2.249,0,0
2.0887,1.112995179,1.036487176,2013-Jul-29,29/7/13,29.33,-2.853,0,0
2.0938,1.117115391,1.034219852,2013-Jul-28,28/7/13,30.533,-1.674,0,0
2.0988,1.123255474,1.031928473,2013-Jul-27,27/7/13,31.161,-1.072,0,0
2.1039,1.131724513,1.028539559,2013-Jul-26,26/7/13,31.039,-1.218,0,0
2.1089,1.13253403,1.026647327,2013-Jul-25,25/7/13,30.572,-1.71,0,0
2.114,1.132225133,1.028046157,2013-Jul-24,24/7/13,30.375,-1.932,0,0
2.119,1.131565202,1.031097403,2013-Jul-23,23/7/13,30.254,-2.078,0,0
2.124,1.120229113,1.034829023,2013-Jul-22,22/7/13,30.381,-1.976,0,0
2.1291,1.110430188,1.041503735,2013-Jul-21,21/7/13,30.138,-2.244,0,0
2.1341,1.100963802,1.045832615,2013-Jul-20,20/7/13,30.491,-1.915,0,0
2.1392,1.095388625,1.04406425,2013-Jul-19,19/7/13,30.613,-1.819,0,0
2.1442,1.092415365,1.043421421,2013-Jul-18,18/7/13,31.003,-1.453,0,0
2.1493,1.090691995,1.046439482,2013-Jul-17,17/7/13,31.005,-1.476,0,0
2.1543,1.085106255,1.047744086,2013-Jul-16,16/7/13,30.687,-1.819,0,0
2.1594,1.08003449,1.044269631,2013-Jul-15,15/7/13,30.871,-1.659,0,0
2.1644,1.076040933,1.035908323,2013-Jul-14,14/7/13,31.261,-1.231,0,0
2.1695,1.074988113,1.024202178,2013-Jul-13,13/7/13,31.148,-1.305,0,0
2.1745,1.072336028,1.014063315,2013-Jul-12,12/7/13,31.229,-1.185,0,0
2.1795,1.066899022,1.005280369,2013-Jul-11,11/7/13,31.237,-1.138,0,0
2.1846,1.059486929,0.99728272,2013-Jul-10,10/7/13,30.792,-1.544,0,0
2.1896,1.052008444,0.988874875,2013-Jul-09,9/7/13,31.671,-0.627,0,0
2.1947,1.043400301,0.983403163,2013-Jul-08,8/7/13,30.995,-1.264,0,0
2.1997,1.03394753,0.981800494,2013-Jul-07,7/7/13,31.537,-0.683,0,0
2.2048,1.02194932,0.9839001,2013-Jul-06,6/7/13,31.706,-0.474,0,0
2.2098,1.008717703,0.988460479,2013-Jul-05,5/7/13,31.945,-0.197,0,0
2.2149,0.99064842,0.995942639,2013-Jul-04,4/7/13,31.857,-0.246,0,0
2.2199,0.977197692,1.005224054,2013-Jul-03,3/7/13,31.54,-0.524,0,0
2.225,0.968218116,1.011117294,2013-Jul-02,2/7/13,31.844,-0.182,0,0
2.23,0.966409093,1.014944561,2013-Jul-01,1/7/13,31.576,-0.411,0,0
2.235,0.966550222,1.016528062,2013-Jun-30,30/6/13,31.607,-0.34,0,0
2.2401,0.966984333,1.018560022,2013-Jun-29,29/6/13,31.516,-0.392,0,0
2.2451,0.968052708,1.023684476,2013-Jun-28,28/6/13,31.599,-0.27,0,0
2.2502,0.971083639,1.018096113,2013-Jun-27,27/6/13,31.214,-0.617,0,0
2.2552,0.974722768,1.015206122,2013-Jun-26,26/6/13,31.041,-0.75,0,0
2.2603,0.976325786,1.012157683,2013-Jun-25,25/6/13,30.761,-0.992,0,0
2.2653,0.980753915,1.013385525,2013-Jun-24,24/6/13,31.946,0.232,0,0
2.2704,0.98677552,1.016317399,2013-Jun-23,23/6/13,31.633,-0.043,0,0
2.2754,0.995171659,1.02330594,2013-Jun-22,22/6/13,31.396,-0.24,0,0
