"colony","year","Site","track","sample","height","dia","StavR","WtavR","WtsdR","StsdR","winSlope","sumSlope","ccoldday","warmday","WcsavR","WcssdR","ScsavR","ScssdR","cummu_dhwm","cummu_dcwm","gulf","density","count95","count90","count10","count05","Bheight"
"ala12",2004,"AlAqah","t1","ala12_t1",13.5,23,32.2919672131148,23.247868852459,0.339519831301493,0.595154936892154,0.0577824422768243,-0.0287937605465694,42,278,0.126918032786885,0.0580477662739826,0.120819672131148,0.0506041856624269,0,0,"oman",1.376217515,0,0,0,0,8.3816
"ala12",2004,"AlAqah","t2","ala12_t2",13.5,23,32.2919672131148,23.247868852459,0.339519831301493,0.595154936892154,0.0577824422768243,-0.0287937605465694,42,278,0.126918032786885,0.0580477662739826,0.120819672131148,0.0506041856624269,0,0,"oman",1.152728883,0,0,0,0,8.3816
"del01",2004,"Delma","t1","del01_t1",7,15,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.524719638,19,48,15,2,1.98505
"del01",2004,"Delma","t2","del01_t2",7,15,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.574698797,19,48,15,2,1.98505
"del07",2004,"Delma","t1","del07_t1",10,19,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.315483946,19,48,15,2,4.5325
"del07",2004,"Delma","t2","del07_t2",10,19,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.361188342,19,48,15,2,4.5325
"del09",2004,"Delma","t1","del09_t1",6,15,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.195815828,19,48,15,2,2.03945
"del09",2004,"Delma","t2","del09_t2",6,15,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.599520192,19,48,15,2,2.03945
"del12",2004,"Delma","t1","del12_t1",12,20,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.30139603,19,48,15,2,4.9971
"del20",2004,"Delma","t1","del20_t1",9,14,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.14467069,19,48,15,2,3.6596
"del20",2004,"Delma","t2","del20_t2",9,14,34.0411475409836,21.2068852459016,0.544302431201645,0.451726681230497,0.0731277935547599,-0.0348713832983497,49,296,0.0815573770491803,0.044901196936594,0.0663934426229508,0.0315617271857992,43.5895249266863,0,"gulf",1.090822862,19,48,15,2,3.6596
"dib04",2004,"Dibba","t1","dib04_t1",14,28,32.1865573770492,23.205737704918,0.327548769989007,0.580014037893055,0.0551739720953204,-0.0274097213647776,40,278,0.13844262295082,0.0601385967550967,0.120344262295082,0.0477105457405738,0,0,"oman",1.179803781,0,0,0,0,8.23075
"dib04",2004,"Dibba","t2","dib04_t2",14,28,32.1865573770492,23.205737704918,0.327548769989007,0.580014037893055,0.0551739720953204,-0.0274097213647776,40,278,0.13844262295082,0.0601385967550967,0.120344262295082,0.0477105457405738,0,0,"oman",1.220492953,0,0,0,0,8.23075
